Actual,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19734,36923,-1103.38,-0.030,0.000,63.363,0.000
1x2 A,20018,37577,-1184.61,-0.032,0.000,47.472,0.000
AH H,11738,19607,-956.325,-0.049,0.000,45.604,0.000
AH A,19654,26353,-1988.525,-0.075,0.000,43.625,0.000
Overall,71144,120460,-5232.84,-0.043,0.000,50.509,0.000
,,,,,,,
Alternate,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,12812,24974,-536.7,-0.021,0.008,64.924,1.561
1x2 A,12632,24808,-698.1,-0.028,0.003,48.789,1.317
AH H,7444,12713,-566.08,-0.045,0.004,45.621,0.017
AH A,11852,16094,-1268.31,-0.079,-0.003,43.495,-0.130
Overall,44740,78589,-3069.19,-0.039,0.004,51.480,0.971
,,,,,,,
,,,,,,,
RandRun01,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19651,39544,-2270.173,-0.057,-0.028,44.247,-19.116
1x2 A,20048,40286,-3244.41,-0.081,-0.049,30.163,-17.310
AH H,11680,20872,-4086.35,-0.196,-0.147,40.899,-4.705
AH A,19673,28306,-5116.955,-0.181,-0.105,40.151,-3.473
Overall,71052,129008,-14717.888,-0.114,-0.071,38.589,-11.920
,,,,,,,
RandRun02,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19630,39331,-2103.088,-0.053,-0.024,44.101,-19.262
1x2 A,19855,39833,-4295.35,-0.108,-0.076,29.519,-17.953
AH H,11700,21003,-3810.35,-0.181,-0.133,41.171,-4.433
AH A,19585,28306,-5075.6,-0.179,-0.104,40.521,-3.104
Overall,70770,128473,-15284.388,-0.119,-0.076,38.535,-11.974
,,,,,,,
RandRun03,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19801,39780,-1859.475,-0.047,-0.017,44.447,-18.915
1x2 A,19991,40444,-4436.47,-0.110,-0.078,29.058,-18.414
AH H,11677,20873,-3357.865,-0.161,-0.112,42.468,-3.136
AH A,19936,28704,-5018.245,-0.175,-0.099,40.449,-3.175
Overall,71405,129801,-14672.055,-0.113,-0.070,38.699,-11.810
,,,,,,,
